timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,0.10333,0.10332,0.1033,0.10328,0.10325,0.10324,0.10323,0.10321,0.1032,0.10317,0.10338,0.10339,0.10342,0.10343,0.10346,0.10347,0.10348,0.10349,0.10352,0.10355,11613,54,801,54,2867,559,2858,505,3954,505,912,505,1348,2346,1048,6063,78366,482,559,505
1,0.1037,0.10369,0.10365,0.10364,0.10361,0.1036,0.10359,0.10357,0.10356,0.10355,0.10375,0.10376,0.10378,0.1038,0.10382,0.10383,0.10384,0.10386,0.10387,0.10388,800,505,1963,1063,505,559,505,1499,54,505,423,54,1839,1558,505,505,1387,4444,39134,558
2,0.10344,0.10343,0.10342,0.10341,0.1034,0.10339,0.10337,0.10336,0.10334,0.10332,0.10351,0.10352,0.10354,0.10356,0.10357,0.10359,0.1036,0.10361,0.10362,0.10363,1480,801,1474,1343,54,1476,1476,1530,505,1404,505,559,1480,948,505,1476,855,971,1476,3784
3,0.1035,0.10349,0.10348,0.10347,0.10346,0.10344,0.10342,0.10341,0.1034,0.10339,0.10356,0.10357,0.10358,0.10359,0.10361,0.10363,0.10364,0.10366,0.10367,0.10368,421,800,1254,1001,3356,559,1012,3365,5000,505,421,505,1320,1147,1490,1512,559,1997,1512,559
4,0.10357,0.10355,0.10354,0.10353,0.10352,0.10349,0.10348,0.10347,0.10346,0.10345,0.10364,0.10366,0.10367,0.10368,0.10369,0.1037,0.10371,0.10372,0.10373,0.10375,922,505,82,1639,505,2349,3866,3361,3241,10000,505,946,1519,54,505,865,505,1021,505,1472
5,0.10351,0.1035,0.10349,0.10348,0.10347,0.10346,0.10345,0.10344,0.10342,0.10341,0.10358,0.1036,0.10361,0.10362,0.10363,0.10364,0.10366,0.10368,0.1037,0.10371,505,1685,1383,2914,505,2985,10000,559,561,2851,505,1318,821,505,799,559,1385,806,880,1385
6,0.10371,0.1037,0.10369,0.10368,0.10366,0.10364,0.10362,0.10361,0.1036,0.10359,0.10377,0.10378,0.10379,0.1038,0.10381,0.10382,0.10384,0.10385,0.10386,0.10387,505,1693,505,505,505,1368,1227,505,1412,505,904,1357,1297,824,799,1256,906,505,1655,855
7,0.1037,0.10367,0.10366,0.10365,0.10364,0.10363,0.1036,0.10359,0.10358,0.10357,0.10375,0.10376,0.10378,0.10379,0.1038,0.10381,0.10383,0.10384,0.10385,0.10386,505,1324,505,1324,854,1324,1376,772,3358,875,877,559,1594,505,1502,505,1051,558,820,505
8,0.10318,0.10317,0.10315,0.10313,0.10312,0.10311,0.10309,0.10308,0.10306,0.10305,0.10325,0.10326,0.10327,0.10328,0.10329,0.1033,0.10331,0.10332,0.10333,0.10334,465,2959,762,778,559,936,1320,559,1313,1563,801,392,1099,988,505,617,505,765,1609,964
9,0.1031,0.10306,0.10305,0.10304,0.10303,0.10301,0.103,0.10298,0.10296,0.10294,0.10312,0.10315,0.10317,0.10318,0.10319,0.1032,0.10322,0.10324,0.10326,0.10328,801,1329,1233,54,1327,647,692,1199,1380,1520,4371,505,1113,505,1325,559,2081,1212,1335,1160
10,0.10273,0.10272,0.10271,0.1027,0.10268,0.10266,0.10264,0.10262,0.10261,0.1026,0.10279,0.1028,0.10281,0.10283,0.10284,0.10285,0.10287,0.10288,0.10289,0.1029,612,722,1028,2156,559,1380,1442,1870,779,3433,505,880,505,2187,748,505,1331,988,505,2668
11,0.10284,0.10283,0.10281,0.1028,0.10279,0.10277,0.10276,0.10275,0.10273,0.10272,0.10289,0.10291,0.10292,0.10293,0.10294,0.10295,0.10296,0.10297,0.10298,0.10299,456,505,2146,54,1309,1239,54,1347,4224,559,456,924,54,1347,790,505,892,505,1640,505
12,0.10266,0.10265,0.10264,0.10263,0.10262,0.1026,0.10258,0.10257,0.10256,0.10255,0.10274,0.10276,0.10277,0.10278,0.10279,0.1028,0.10282,0.10283,0.10284,0.10286,803,505,472,1445,3380,559,1883,2887,1165,56,915,505,1175,564,815,505,505,1175,559,1687
13,0.10248,0.10244,0.10243,0.10242,0.10241,0.1024,0.10239,0.10238,0.10236,0.10234,0.10252,0.10253,0.10257,0.10258,0.10259,0.1026,0.10262,0.10264,0.10267,0.10268,54,1839,505,1113,505,1172,3395,804,559,1440,441,140,1546,804,1608,559,1608,559,1623,54
14,0.10236,0.10232,0.1023,0.10229,0.10228,0.10225,0.10224,0.10223,0.10221,0.1022,0.10237,0.10239,0.1024,0.10242,0.10243,0.10244,0.10245,0.10246,0.10248,0.1025,54,54,1310,2884,559,505,945,4271,56,678,434,304,973,505,844,1691,505,505,1463,864
15,0.10254,0.10253,0.10252,0.10248,0.10247,0.10246,0.10244,0.10241,0.1024,0.10238,0.1026,0.10263,0.10264,0.10265,0.10266,0.10267,0.10268,0.10269,0.10271,0.10272,390,505,505,1295,853,806,962,2312,54,1519,508,1787,54,505,1101,1311,799,1272,1044,559
16,0.10233,0.10232,0.10231,0.1023,0.10228,0.10227,0.10226,0.10224,0.10221,0.1022,0.10236,0.10237,0.10242,0.10243,0.10244,0.10245,0.10246,0.10247,0.10249,0.10251,505,54,2225,807,559,2883,505,753,1491,54,451,1010,505,1301,505,660,1922,991,505,804
17,0.10167,0.10166,0.10165,0.10164,0.10162,0.10161,0.1016,0.10159,0.10158,0.10156,0.10176,0.10177,0.10179,0.1018,0.10181,0.10182,0.10183,0.10184,0.10185,0.10186,833,505,808,1500,1162,4254,560,561,3409,1051,1458,1147,505,566,505,668,1214,55,505,1832
